Hidden Layer, Max, Mean, STD
[0],0.0,0.0,0.0
[5],0.85734705546,0.840022870212,0.00985278866943
[10],0.897369925672,0.890508862207,0.00497131277742
[15],0.901943967982,0.892738707833,0.00649992978439
[20],0.908805031447,0.905889079474,0.00218018021326
[25],0.909090909091,0.90303030303,0.00376404358848
[30],0.905946255003,0.902630074328,0.00229842781501
[35],0.909376786735,0.903144654088,0.00714899913193
[40],0.905374499714,0.90154373928,0.00346183544956
