Hidden Layer, Max, Mean, STD
[0],0.692408376963,0.692408376963,0.0
[5],0.844240837696,0.826439790576,0.0118771453896
[10],0.826570680628,0.816884816754,0.00572634629692
[15],0.835732984293,0.820680628272,0.0134441351991
[20],0.830497382199,0.821073298429,0.00529417497805
[25],0.825261780105,0.815445026178,0.00672525265899
[30],0.823298429319,0.81164921466,0.0103841274714
[35],0.82722513089,0.818586387435,0.00525845796508
[40],0.818717277487,0.809816753927,0.00698271134469
